Browse,Suchen
Refresh,Ger„t erneut finden 
Activate,Aktivieren
File Name,Dateiname
Content Name,Inhaltsname
Content Type,Inhaltstyp
Status,Status
Installed Content,Installierte Inhalte
Patch Navcore (PNDNavigator/ttsystem),Patch Navcore (PNDNavigator/ttsystem)
Create Meta from Installed Content,Erstellen von Meta aus installiertem Inhalt
Update Meta,Update Meta
Tools,Tools
Update QuickGPSFix,Update QuickGPSFix
GPS Chipset:,GPS Chipset:
QuickGPSFix,QuickGPSFix
Help,Hilfe
Auto-Extract,Automatisch Entpacken
Download To Device,Download auf das Ger„t
Download To Folder,Download in den Ordner
Temporary Download Folder:,Tempor„rer Download-Ordner
Map Country/Region (select from list or enter manually, case-sensitive):,Karte Land/Region (aus der Liste ausw„hlen oder manuell eingeben Groá-/Kleinschreibung bercksichtigen):
Map Version:,Kartenversion:
Map Kind/Generation:,Kartentyp/generation:
Map Downloader,Kartendownloader
Manual Install,Manuelle Installation
Easy/Automatic Install,Einfache/Automatische Installation
Special thanks to the Maverick,Besonderer Dank an @The Maverick
Use Premium Cameras (where possible),Premium-Kameras verwenden (wenn m”glich)
Safety Cam Downloader,Blitzer laden
Install Postcodes/Zipcodes,Installieren von Postleitzahlen
Singapore,Singapur
Great Britain,Groábritannien
Netherlands,Niederlande
Postcodes,Postleitzahlen
Custom/Unknown Traffic Providers:,Benutzerdefinierte/Unbekannte Verkehrsanbieter:
Known Traffic Providers:,Bekannte Verkehrsanbieter:
TX02 (Marigot) - for Carminat,TX02 (Marigot) - fr Carminat
TX01 (Default) - for most devices,TX01 (Standard) - fr die meisten Ger„te
CC,CC
LTN,LTN
SID,SID
ETI,ETI
ETO,ETO
Name,Name
Country,Land
Add Custom Provider (Advanced),Hinzufgen eines benutzerdefinierten Anbieters (Erweitert)
Save As...,Speichern unter...
Enable/Disable All Providers,Aktivieren/Deaktivieren aller Anbieter
Install To Device,Auf dem Ger„t installieren
RDS-TMC,RDS-TMC
Source:,Quelle:
TTActivator,TTActivator
Change TTActivator Language,TTActivator-Sprache „ndern
Paid,Bezahlt
NAV3 Tools,NAV3 Tools
Install Patch,Patch installieren
Uninstall Patch,Patch deinstallieren
Reboot Device,Ger„t neustarten
Upload Meta To Device,Meta auf Ger„t hochladen
Install TT Package Files,TT-Paketdateien installieren
Delete Maps from Internal Memory,Karten aus dem internen Speicher l”schen
Device Storage Usage,Ger„tespeichernutzung
Internal Memory:,Interner Speicher:
SD Card:,SD-Karte:
Special thanks to MSTMS team.,Besonderer Dank geht an das MSTMS-Team.
Standard (MSTMS):,Standard (MSTMS):
Truck (MSTMS Truck):,LKW (MSTMS Truck):
Install Standard Patch,Installieren Sie den Standard-Patch
Install Truck Patch,LKW-Patch installieren
For navcore 7.8x Devices and above (cspeech/ASR/TTS/vocalizer only),Fr Navcore 7.8x Ger„te und h”her (nur Cspeech/ASR/TTS/Vocalizer)
For navcore 7.8x Devices and above (none included),Fr Navcore 7.8x Ger„te und h”her (keine enthalten)
For navcore 7.8x devices and above (TTS only),Fr Navcore 7.8x Ger„te und h”her (nur TTS)
For navcore 8.2x devices and above (IQroutes/ALG/TTS/vocalizer only),Fr Navcore 8.2x Ger„te und h”her (nur IQ-Routes/ALG/TTS/Vocalizer)
For navcore 9.x devices,Fr Navcore 9.x Ger„te
For navcore 9.x devices (no ASR),Fr Navcore 9.x Ger„te (kein ASR)
For truck navcore 9.x devices,Fr LKW Navcore 9.x Ger„te
